names,scores,distances,rect
APR2017_TM260417031146-175,"[13.041064, 6.4764752, 12.237858, 34.760212, 23.49324, 25.882765, 27.299566]","[41.23105625617661, 46.09772228646444, 14.142135623730951, 11.180339887498949, 50.0, 67.26812023536856, 30.4138126514911]","[(284, 109, 54, 254), (742, 247, 107, 96), (627, 373, 230, 151), (842, 239, 128, 312), (429, 300, 123, 156), (410, 475, 160, 155), (512, 580, 318, 141)]"
AGO2017_AG010817250932-196,"[2.9530113, 6.5234046, 10.424766, 56.075386, 8.814095, 10.302839, 20.907618]","[0.0, 40.311288741492746, 21.213203435596427, 50.0, 10.0, 41.23105625617661, 25.495097567963924]","[(324, 119, 54, 254), (722, 317, 117, 106), (607, 403, 240, 161), (892, 259, 230, 302), (379, 290, 123, 156), (370, 485, 150, 155), (482, 540, 318, 131)]"
AGO2018_BM300818290738-118,"[37.431923, 8.568531, 91.52342, 144.02446, 62.842415, 14.573313, 27.497784]","[64.03124237432849, 91.92388155425118, 44.721359549995796, 20.615528128088304, 66.70832032063167, 40.0, 58.309518948453004]","[(274, 159, 54, 254), (682, 227, 97, 96), (657, 403, 230, 151), (832, 239, 156, 312), (369, 240, 133, 166), (360, 565, 150, 155), (472, 490, 308, 121)]"
AGO2018_DV010818070242-109,"[14.306407, 8.511334, 133.6595, 11.050344, 21.257324, 10.253285, 19.617962]","[60.41522986797286, 28.284271247461902, 22.360679774997898, 41.23105625617661, 25.0, 28.284271247461902, 61.032778078668514]","[(294, 169, 104, 304), (722, 267, 87, 86), (627, 403, 230, 151), (862, 199, 209, 322), (369, 280, 133, 156), (380, 545, 150, 155), (552, 510, 308, 131)]"
AGO2018_OF280818220260-108,"[5.3929343, 7.427089, 44.323593, 6.9680796, 32.932064, 15.105823, 28.618404]","[35.35533905932738, 15.811388300841896, 53.85164807134504, 50.0, 42.42640687119285, 36.05551275463989, 42.42640687119285]","[(304, 149, 64, 264), (742, 307, 97, 96), (667, 403, 230, 151), (902, 229, 248, 302), (409, 330, 123, 156), (380, 555, 150, 155), (532, 570, 308, 121)]"
APR2018_MS190418301137-060,"[24.46473, 13.495997, 146.19571, 208.86674, 27.630384, 11.44534, 29.331558]","[70.71067811865476, 14.142135623730951, 45.0, 52.20153254455275, 32.01562118716424, 11.180339887498949, 53.85164807134504]","[(274, 169, 54, 254), (752, 277, 87, 86), (627, 343, 250, 161), (812, 219, 109, 312), (359, 320, 133, 156), (360, 515, 160, 155), (452, 560, 308, 121)]"
DIC2017_MM151217240433-249,"[15.799218, 11.457879, 6.3225074, 138.82697, 26.941889, 10.323049, 17.301163]","[20.0, 10.0, 22.360679774997898, 53.85164807134504, 55.90169943749474, 22.360679774997898, 50.99019513592785]","[(324, 139, 54, 254), (742, 277, 87, 86), (627, 363, 230, 151), (832, 179, 83, 302), (359, 250, 133, 156), (350, 545, 150, 155), (452, 550, 308, 121)]"
DIC2017_PM221217200436-238,"[29.607494, 7.01638, 40.644638, 7.989587, 36.920498, 18.908987, 15.693223]","[65.19202405202648, 44.721359549995796, 58.309518948453004, 44.721359549995796, 40.0, 50.0, 26.92582403567252]","[(264, 129, 64, 264), (722, 247, 87, 86), (647, 433, 230, 151), (892, 249, 192, 302), (379, 260, 123, 156), (390, 565, 150, 155), (502, 520, 328, 131)]"
DIC2017_MU011217110445-244,"[21.298433, 15.972713, 10.117854, 196.87996, 9.096605, 10.06043, 18.053793]","[45.27692569068709, 26.92582403567252, 10.0, 82.00609733428362, 25.0, 36.05551275463989, 25.0]","[(334, 169, 64, 264), (722, 277, 97, 86), (617, 393, 230, 151), (902, 179, 162, 332), (369, 290, 133, 176), (330, 545, 150, 155), (502, 570, 308, 131)]"
APR2016_FL210416060338-272,"[2.2110894, 6.9822993, 9.114969, 8.490396, 7.672074, 10.123478, 16.01027]","[28.284271247461902, 22.360679774997898, 26.92582403567252, 15.811388300841896, 11.180339887498949, 50.99019513592785, 10.0]","[(304, 139, 54, 254), (752, 267, 87, 86), (627, 363, 230, 161), (862, 219, 160, 312), (379, 290, 133, 156), (410, 515, 150, 155), (502, 550, 308, 121)]"
AGO2018_RN290818020236-116,"[3.8763545, 8.296792, 8.052879, 7.110561, 26.133965, 10.383077, 15.558465]","[56.568542494923804, 30.0, 36.05551275463989, 10.0, 30.0, 15.811388300841896, 28.284271247461902]","[(284, 159, 54, 254), (742, 317, 87, 86), (587, 403, 230, 151), (862, 229, 146, 302), (349, 300, 123, 156), (360, 515, 160, 165), (482, 560, 308, 121)]"
APR2016_SS070416281037-267,"[25.311085, 12.216542, 7.487638, 161.45944, 10.5002165, 8.798866, 27.251274]","[41.23105625617661, 22.360679774997898, 50.24937810560445, 40.0, 25.495097567963924, 31.622776601683793, 76.48529270389177]","[(284, 129, 54, 254), (762, 277, 87, 86), (627, 343, 240, 171), (812, 229, 492, 302), (369, 310, 153, 166), (400, 525, 170, 175), (502, 470, 338, 131)]"
APR2016_NG070416220238-268,"[2.3076913, 14.837693, 7.94012, 108.75049, 10.726713, 9.724644, 30.321081]","[28.284271247461902, 51.478150704935004, 7.0710678118654755, 76.48529270389177, 26.92582403567252, 50.0, 58.309518948453004]","[(304, 149, 54, 274), (772, 247, 97, 96), (617, 383, 240, 161), (882, 169, 192, 332), (379, 280, 143, 166), (410, 525, 150, 155), (532, 490, 308, 121)]"
AGO2018_BM080818150447-113,"[2.4611235, 7.1762013, 4.180676, 9.999266, 11.935498, 10.868683, 16.289986]","[33.54101966249684, 14.142135623730951, 14.142135623730951, 14.142135623730951, 14.142135623730951, 64.03124237432849, 10.0]","[(314, 149, 64, 254), (752, 277, 87, 86), (607, 373, 230, 151), (862, 239, 156, 302), (369, 290, 123, 156), (400, 475, 150, 155), (502, 550, 308, 121)]"
FEB2016_CL110216131142-261,"[6.777667, 12.024954, 13.638032, 6.821449, 38.436108, 11.545007, 19.876822]","[26.92582403567252, 50.0, 36.40054944640259, 58.52349955359813, 58.309518948453004, 35.35533905932738, 40.0]","[(304, 139, 64, 274), (692, 287, 87, 86), (587, 373, 240, 151), (892, 199, 299, 352), (349, 250, 123, 156), (370, 495, 160, 165), (462, 540, 308, 121)]"
LUG2017_VA140717030437-197,"[13.989361, 8.178315, 6.0818405, 8.417217, 16.356169, 11.592989, 37.808453]","[30.0, 14.142135623730951, 10.0, 66.70832032063167, 5.0, 20.0, 44.721359549995796]","[(324, 149, 54, 254), (752, 277, 87, 86), (627, 383, 230, 151), (872, 179, 147, 332), (379, 300, 123, 166), (360, 505, 150, 155), (462, 560, 308, 121)]"
SET2018_TM040918250539-112,"[3.182086, 18.944054, 21.386957, 88.937645, 34.79099, 14.767897, 16.173725]","[43.01162633521314, 54.08326913195984, 31.622776601683793, 56.568542494923804, 70.71067811865476, 50.0, 43.01162633521314]","[(304, 159, 64, 264), (702, 257, 97, 86), (647, 393, 230, 151), (892, 269, 315, 302), (369, 230, 123, 156), (390, 485, 150, 155), (542, 570, 318, 131)]"
